,B_x,B_y,B_z,V_1,V_2,V_3
173,5.086388447523504,-8.80988321814209,-3.3909256316823333,0.0,-2.9133858267716537,0.0
174,4.817711997322406,-8.34452195559654,-3.2118079982149346,0.0,-2.755905511811024,0.0
175,4.548008637106295,-7.877382032730184,-3.0320057580708597,0.0,-2.5984251968503935,0.0
176,4.277332253833409,-7.408556784492561,-2.8515548358889378,0.0,-2.440944881889764,0.0
177,4.005737554410378,-6.938140966025473,-2.6704917029402506,0.0,-2.2834645669291342,0.0
178,3.7332800237160106,-6.4662306799580715,-2.4888533491440064,0.0,-2.1259842519685037,0.0
179,3.460015881245354,-5.992923301312153,-2.3066772541635685,0.0,-1.968503937007874,0.0
180,3.186002036441874,-5.518317400135233,-2.1240013576279146,0.0,-1.8110236220472444,0.0
181,2.9112960427896204,-5.042512661985837,-1.9408640285264118,0.0,-1.6535433070866148,0.0
182,2.635956050740984,-4.565609806401989,-1.7573040338273218,0.0,-1.4960629921259851,0.0
183,2.3600407595592414,-4.087710503490049,-1.5733605063728269,0.0,-1.3385826771653537,0.0
184,2.08360936815845,-3.6089172887769205,-1.3890729121056322,0.0,-1.181102362204724,0.0
185,1.8067215250263324,-3.129333476473932,-1.204481016684221,0.0,-1.0236220472440944,0.0
186,1.5294372773187503,-2.6490630713058856,-1.019624851545833,0.0,-0.8661417322834648,0.0
187,1.2518170192168703,-2.168210679063044,-0.8345446794779129,0.0,-0.7086614173228352,0.0
188,0.9739214396405274,-1.6868814160380188,-0.6492809597603513,0.0,-0.5511811023622055,0.0
189,0.6958114694133121,-1.2051808175130139,-0.4638743129422076,0.0,-0.3937007874015741,0.0
190,0.41754822797666546,-0.7232147454659368,-0.27836548531777683,0.0,-0.23622047244094446,0.0
191,0.13919296975165615,-0.24108929566626627,-0.09279531316777069,0.0,-0.07874015748031482,0.0
192,-0.13919296975165615,0.24108929566626627,0.09279531316777069,0.0,0.07874015748031482,0.0
193,-0.41754822797666546,0.7232147454659368,0.27836548531777683,0.0,0.23622047244094446,0.0
194,-0.6958114694133121,1.2051808175130139,0.4638743129422076,0.0,0.3937007874015741,0.0
