,B_x,B_y,B_z,V_1,V_2,V_3
950,-11.751783490987469,20.35468608593944,7.8345223273249776,0.0,7.142857142857142,0.0
951,-11.807317998851495,20.45087467513327,7.871545332567655,0.0,7.1819960861056735,0.0
952,-11.862723610409889,20.546840009376833,7.908482406939924,0.0,7.221135029354208,0.0
953,-11.918000022096626,20.642581562878355,7.9453333480644135,0.0,7.260273972602739,0.0
954,-11.97314693527007,20.73809881837534,7.982097956846711,0.0,7.299412915851271,0.0
955,-12.028164056204545,20.833391267120017,8.01877603746969,0.0,7.338551859099802,0.0
956,-12.083051096081666,20.92845840886425,8.055367397387773,0.0,7.3776908023483365,0.0
957,-12.137807770981228,21.023299751843822,8.091871847320812,0.0,7.416829745596868,0.0
958,-12.192433801871921,21.11791481276233,8.128289201247942,0.0,7.455968688845399,0.0
959,-12.246928914601629,21.21230311677438,8.164619276401078,0.0,7.495107632093934,0.0
960,-12.301292839887434,21.30646419746827,8.200861893258288,0.0,7.534246575342465,0.0
961,-12.355525313305378,21.400397596848283,8.237016875536913,0.0,7.573385518590996,0.0
962,-12.409626075279839,21.494102865316236,8.27308405018655,0.0,7.612524461839531,0.0
963,-12.463594871072646,21.58757956165269,8.309063247381758,0.0,7.651663405088062,0.0
964,-12.517431450771896,21.68082725299752,8.344954300514594,0.0,7.690802348336593,0.0
965,-12.571135569280475,21.773845514830075,8.380757046186977,0.0,7.729941291585128,0.0
966,-12.624706986304263,21.866633930948737,8.416471324202835,0.0,7.769080234833659,0.0
967,-12.678145466340112,21.959192093450085,8.452096977560068,0.0,7.80821917808219,0.0
968,-12.731450778663469,22.051519602707465,8.48763385244231,0.0,7.847358121330721,0.0
969,-12.784622697315745,22.14361606734913,8.523081798210493,0.0,7.886497064579256,0.0
970,-12.83766100109143,22.235481104235884,8.558440667394278,0.0,7.925636007827787,0.0
971,-12.890565473524898,22.327114338438278,8.59371031568326,0.0,7.964774951076318,0.0
972,-12.943335902876964,22.41851540321328,8.628890601917973,0.0,8.003913894324853,0.0
973,-12.995972082121137,22.509683939980494,8.663981388080755,0.0,8.043052837573384,0.0
974,-13.048473808929668,22.60061959829797,8.698982539286444,0.0,8.082191780821915,0.0
975,-13.100840885659293,22.69132203583754,8.733893923772856,0.0,8.12133072407045,0.0
976,-13.153073119336698,22.78179091835961,8.768715412891126,0.0,8.160469667318981,0.0
977,-13.20517032164379,22.872025919687694,8.803446881095853,0.0,8.199608610567513,0.0
978,-13.257132308902674,22.962026721682324,8.838088205935112,0.0,8.238747553816047,0.0
979,-13.30895890206038,23.051793014214677,8.872639268040249,0.0,8.277886497064578,0.0
980,-13.36064992667337,23.141324495139667,8.907099951115573,0.0,8.31702544031311,0.0
981,-13.412205212891793,23.23062087026873,8.941470141927855,0.0,8.356164383561644,0.0
982,-13.46362459544346,23.319681853342033,8.97574973029563,0.0,8.395303326810176,0.0
983,-13.514907913617678,23.4085071660005,9.009938609078446,0.0,8.434442270058707,0.0
984,-13.566055011248757,23.497096537757216,9.04403667416583,0.0,8.473581213307241,0.0
985,-13.61706573669934,23.58544970596857,9.078043824466219,0.0,8.512720156555773,0.0
986,-13.667939942843491,23.673566415804974,9.11195996189565,0.0,8.551859099804304,0.0
987,-13.718677487049582,23.7614464202212,9.145784991366385,0.0,8.590998043052835,0.0
988,-13.769278231162934,23.84908947992632,9.179518820775286,0.0,8.63013698630137,0.0
989,-13.81974204148825,23.936495363353288,9.213161360992165,0.0,8.669275929549901,0.0
990,-13.870068788771858,24.02366384662817,9.246712525847903,0.0,8.708414872798432,0.0
991,-13.920258348183735,24.110594713539037,9.280172232122483,0.0,8.747553816046967,0.0
992,-13.970310599299287,24.197287755504373,9.313540399532855,0.0,8.786692759295498,0.0
993,-14.02022542608101,24.283742771541313,9.346816950720665,0.0,8.82583170254403,0.0
994,-14.070002716859882,24.36995956823345,9.380001811239918,0.0,8.864970645792564,0.0
995,-14.119642364316594,24.455937959698282,9.413094909544387,0.0,8.904109589041095,0.0
996,-14.169144265462556,24.541677767554344,9.446096176975033,0.0,8.943248532289626,0.0
997,-14.218508321620797,24.627178820888094,9.479005547747194,0.0,8.982387475538161,0.0
998,-14.26773443840656,24.71244095622036,9.511822958937698,0.0,9.021526418786692,0.0
999,-14.316822525707826,24.79746401747252,9.544548350471878,0.0,9.060665362035223,0.0
1000,-14.365772497665608,24.882247855932476,9.5771816651104,0.0,9.099804305283755,0.0
1001,-14.414584272654063,24.9667923302201,9.609722848436034,0.0,9.13894324853229,0.0
1002,-14.46325777326045,25.0510973062526,9.642171848840295,0.0,9.17808219178082,0.0
1003,-14.51179292626495,25.135162657209523,9.674528617509964,0.0,9.217221135029352,0.0
1004,-14.56018966262027,25.21898826349745,9.70679310841351,0.0,9.256360078277886,0.0
1005,-14.608447917431082,25.30257401271438,9.738965278287383,0.0,9.295499021526417,0.0
1006,-14.656567629933374,25.385919799613962,9.771045086622241,0.0,9.334637964774949,0.0
1007,-14.704548743473598,25.469025526069355,9.803032495649058,0.0,9.373776908023483,0.0
1008,-14.75239120548763,25.55189110103684,9.834927470325079,0.0,9.412915851272015,0.0
1009,-14.800094967479687,25.634516440519263,9.866729978319782,0.0,9.452054794520546,0.0
1010,-14.847659985000991,25.716901467529063,9.898439990000654,0.0,9.49119373776908,0.0
1011,-14.895086217628355,25.79904611205124,9.930057478418895,0.0,9.530332681017612,0.0
1012,-14.942373628942622,25.880950311005957,9.961582419295079,0.0,9.569471624266143,0.0
1013,-14.989522186506958,25.962614008210974,9.993014791004637,0.0,9.608610567514678,0.0
1014,-15.036531861845006,26.044037154343787,10.02435457456333,0.0,9.647749510763209,0.0
1015,-15.083402630418952,26.125219706903668,10.055601753612631,0.0,9.68688845401174,0.0
1016,-15.130134471607413,26.206161630173323,10.086756314404937,0.0,9.726027397260275,0.0
